"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000024621",6.13675717278663e-10,-0.417193573201354,0,1,1.22735143455733e-06
"ENSMUSG00000066571",6.13675717278663e-10,-0.452524733021162,0,1,1.22735143455733e-06
"ENSMUSG00000104205",6.13675717278663e-10,-0.462192909947726,0,1,1.22735143455733e-06
"ENSMUSG00000042489",6.13675717278663e-10,-0.53683430700413,0,1,1.22735143455733e-06
"ENSMUSG00000039497",6.13675717278663e-10,-0.605772072008773,0,1,1.22735143455733e-06
"ENSMUSG00000016757",6.13675717278663e-10,-0.754955333439351,0,1,1.22735143455733e-06
"ENSMUSG00000048027",6.13675717278663e-10,-0.760705535369362,0,1,1.22735143455733e-06
"ENSMUSG00000060519",6.13675717278663e-10,-0.781929438101323,0,1,1.22735143455733e-06
"ENSMUSG00000021411",6.13675717278663e-10,-0.808416590814856,0,1,1.22735143455733e-06
"ENSMUSG00000061802",6.13675717278663e-10,-1.20463685800335,0,1,1.22735143455733e-06
"ENSMUSG00000033847",6.13675717278663e-10,-1.27914180587874,0,1,1.22735143455733e-06
"ENSMUSG00000074039",6.13675717278663e-10,-1.36846754650154,0,1,1.22735143455733e-06
"ENSMUSG00000074813",6.13675717278663e-10,-1.42476078606698,0,1,1.22735143455733e-06
"ENSMUSG00000016200",6.13675717278663e-10,-1.44334666621336,0,1,1.22735143455733e-06
"ENSMUSG00000034898",6.13675717278663e-10,-1.47947524822602,0,1,1.22735143455733e-06
"ENSMUSG00000045382",6.13675717278663e-10,-1.58068533517135,0,1,1.22735143455733e-06
"ENSMUSG00000090019",6.13675717278663e-10,-1.58335222374232,0,1,1.22735143455733e-06
"ENSMUSG00000097857",6.13675717278663e-10,-1.69459724035143,0,1,1.22735143455733e-06
"ENSMUSG00000070737",6.13675717278663e-10,-1.73671109525812,0,1,1.22735143455733e-06
"ENSMUSG00000023367",6.13675717278663e-10,-1.988650624042,0,1,1.22735143455733e-06
"ENSMUSG00000042961",6.13675717278663e-10,-2.02220329932112,0,1,1.22735143455733e-06
"ENSMUSG00000099966",6.13675717278663e-10,-2.2922550865903,0,1,1.22735143455733e-06
"ENSMUSG00000058806",6.13675717278663e-10,-2.38465560798203,0,1,1.22735143455733e-06
"ENSMUSG00000000693",6.13675717278663e-10,-2.41224968362296,0,1,1.22735143455733e-06
"ENSMUSG00000019256",6.13675717278663e-10,-2.58534845872239,0,1,1.22735143455733e-06
