Gene_ID,TS1,TS2,TS3,TS4,TS5,TS6,TS8,TS9,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS18,TS19,TS20,TS21,TS22,TS23,TS25,TS27
ENSMUSG00000048218,1,2,3,2,2,1,3,1,0,0,3,3,1,0,2,3,1,0,0,3,1,1,2
ENSMUSG00000048222,2,0,5,2,1,0,3,1,0,0,0,0,0,5,1,4,3,2,0,2,2,3,1
ENSMUSG00000048226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048232,0,1,2,0,0,0,6,0,2,0,1,4,2,4,0,0,0,2,3,0,0,4,1
ENSMUSG00000048234,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000048236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000048240,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048249,1,2,6,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0
ENSMUSG00000048251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048264,5,1,1,0,0,0,2,0,0,0,0,3,0,0,1,2,4,1,0,0,1,6,0
ENSMUSG00000048271,0,3,3,0,0,0,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1
ENSMUSG00000048277,3,2,2,0,0,0,2,0,1,0,0,0,2,0,0,1,0,2,0,0,0,6,0
ENSMUSG00000048279,1076,1061,1123,776,183,516,1206,514,772,117,944,689,769,186,901,1093,544,700,410,828,466,1334,768
