"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000027944",1.33844616863124e-05,56.8203642410602,0.143,1,0.0267689233726248
"ENSMUSG00000024212",1.33844616863124e-05,5.52173896975245,0.143,0.083,0.0267689233726248
"ENSMUSG00000054770",1.33844616863124e-05,5.37320800443722,0.143,0.083,0.0267689233726248
"ENSMUSG00000051355",1.34469180996649e-05,109.629188077213,0.238,0.083,0.0268938361993298
"ENSMUSG00000041431",1.34469180996649e-05,16.2026805481913,0.238,1,0.0268938361993298
"ENSMUSG00000030722",1.36335994251802e-05,-1.34599092106052,0.048,0.917,0.0272671988503605
"ENSMUSG00000051048",1.38193203959313e-05,186.152269223358,0.095,1,0.0276386407918626
"ENSMUSG00000031661",1.38193203959313e-05,124.810975222327,0.095,1,0.0276386407918626
"ENSMUSG00000001946",1.38193203959313e-05,-6.39907703627056,0.095,0.917,0.0276386407918626
"ENSMUSG00000059970",1.38193203959313e-05,-20.1001274212172,0.095,0.917,0.0276386407918626
"ENSMUSG00000104257",1.38193203959313e-05,-49.1898495194117,0.095,1,0.0276386407918626
"ENSMUSG00000036202",1.49745148277248e-05,230.767780129959,0.19,0.083,0.0299490296554496
"ENSMUSG00000016409",1.49745148277248e-05,196.830939907878,0.19,0.083,0.0299490296554496
"ENSMUSG00000022748",1.49745148277248e-05,40.6850629954968,0.19,1,0.0299490296554496
"ENSMUSG00000068748",1.59910499732849e-05,-4.62579314936542,0.429,1,0.0319820999465698
"ENSMUSG00000084843",1.59910499732849e-05,-13.251818346493,0.429,1,0.0319820999465698
"ENSMUSG00000033933",1.61168362121814e-05,82.9168142514315,0.143,0.083,0.0322336724243629
"ENSMUSG00000039183",1.61168362121814e-05,12.3654212513892,0.143,0.083,0.0322336724243629
"ENSMUSG00000048905",1.66897427268811e-05,89.8431915348041,0.095,1,0.0333794854537621
"ENSMUSG00000021193",1.66897427268811e-05,59.4954642517465,0.095,1,0.0333794854537621
"ENSMUSG00000074743",1.66897427268811e-05,14.174328864589,0.095,1,0.0333794854537621
"ENSMUSG00000022676",1.66897427268811e-05,-6.39876037352638,0.095,1,0.0333794854537621
"ENSMUSG00000020154",1.66897427268811e-05,-38.9994567983886,0.095,0.917,0.0333794854537621
"ENSMUSG00000022828",1.66897427268811e-05,-86.84896282262,0.095,1,0.0333794854537621
"ENSMUSG00000029661",1.78832676663568e-05,62.5432029105963,0.476,1,0.0357665353327136
"ENSMUSG00000020220",1.79647048193644e-05,259.934445284982,0.19,0.083,0.0359294096387288
"ENSMUSG00000003438",1.92686002387902e-05,62.5436735323359,0.238,0.083,0.0385372004775804
"ENSMUSG00000003617",1.93759510911864e-05,233.549531868886,0.143,1,0.0387519021823728
"ENSMUSG00000060703",1.93759510911864e-05,176.291333732516,0.143,1,0.0387519021823728
"ENSMUSG00000024063",1.93759510911864e-05,-16.12803476196,0.143,0.083,0.0387519021823728
"ENSMUSG00000018167",1.93759510911864e-05,-75.4582289398778,0.143,0.083,0.0387519021823728
"ENSMUSG00000031198",1.93759510911864e-05,-116.854352279322,0.143,0.083,0.0387519021823728
"ENSMUSG00000001211",1.99923755360099e-05,76.1986697270782,0.286,0.083,0.0399847510720198
"ENSMUSG00000030498",2.00073518624745e-05,-1.80885249469819,0.048,0.917,0.0400147037249491
"ENSMUSG00000022515",2.01229886747089e-05,434.90982426834,0.095,1,0.0402459773494178
"ENSMUSG00000099966",2.01229886747089e-05,228.925101480786,0.095,1,0.0402459773494178
"ENSMUSG00000031298",2.01229886747089e-05,189.537629271859,0.095,1,0.0402459773494178
"ENSMUSG00000104524",2.01229886747089e-05,188.27317257341,0.095,1,0.0402459773494178
"ENSMUSG00000084947",2.01229886747089e-05,148.071865471289,0.095,1,0.0402459773494178
"ENSMUSG00000039126",2.01229886747089e-05,144.204039913094,0.095,1,0.0402459773494178
"ENSMUSG00000052423",2.01229886747089e-05,103.008776238395,0.095,1,0.0402459773494178
"ENSMUSG00000053128",2.01229886747089e-05,68.2729391676231,0.095,1,0.0402459773494178
"ENSMUSG00000034424",2.01229886747089e-05,35.1693960737602,0.095,1,0.0402459773494178
"ENSMUSG00000018593",2.1467792909233e-05,-19.0427787748089,0.857,1,0.042935585818466
"ENSMUSG00000023036",2.15185308912287e-05,293.58119599944,0.19,0.083,0.0430370617824574
"ENSMUSG00000033581",2.15185308912287e-05,197.703437154119,0.19,0.083,0.0430370617824574
"ENSMUSG00000025893",2.15185308912287e-05,100.473256730218,0.19,1,0.0430370617824574
"ENSMUSG00000028433",2.15185308912287e-05,53.9654184751842,0.19,1,0.0430370617824574
"ENSMUSG00000004100",2.32568598119146e-05,8.32623190867326,0.143,1,0.0465137196238292
"ENSMUSG00000060538",2.32568598119146e-05,-7.07563057326951,0.143,1,0.0465137196238292
"ENSMUSG00000053965",2.32568598119146e-05,-356.229165161844,0.143,1,0.0465137196238292
"ENSMUSG00000021782",2.38233652984226e-05,276.189207562193,0.286,0.083,0.0476467305968452
"ENSMUSG00000055319",2.41528528174938e-05,22.6306216586369,0.714,0.083,0.0483057056349875
"ENSMUSG00000096385",2.42223173104956e-05,528.249889547646,0.095,1,0.0484446346209912
"ENSMUSG00000071342",2.42223173104956e-05,403.781133255448,0.095,1,0.0484446346209912
"ENSMUSG00000103761",2.42223173104956e-05,390.355366954096,0.095,1,0.0484446346209912
"ENSMUSG00000103803",2.42223173104956e-05,362.403887795013,0.095,1,0.0484446346209912
"ENSMUSG00000104339",2.42223173104956e-05,357.68861405596,0.095,1,0.0484446346209912
