"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","ensembl_gene_id"
"57",0.00059540657316083,Inf,0.818,0.471,1,"2","ENSMUSG00000103148"
"58",0.000828412957826398,Inf,0.667,0.344,1,"2","ENSMUSG00000097767"
"59",0.00112284574413099,Inf,0.545,0.274,1,"2","ENSMUSG00000102579"
"60",0.00121333856242647,Inf,0.909,0.732,1,"2","ENSMUSG00000057738"
"61",0.00150480243013651,Inf,0.697,0.541,1,"2","ENSMUSG00000020644"
"62",0.00201679293190468,Inf,0.727,0.497,1,"2","ENSMUSG00000063730"
"63",0.00315466576896904,Inf,0.848,0.65,1,"2","ENSMUSG00000023072"
"64",0.00374001250953889,Inf,0.788,0.49,1,"2","ENSMUSG00000090353"
"65",0.00386321433198462,Inf,0.545,0.344,1,"2","ENSMUSG00000102307"
"66",0.00397491521557978,Inf,1,0.93,1,"2","ENSMUSG00000047658"
"67",0.00444829517687701,Inf,0.606,0.35,1,"2","ENSMUSG00000002900"
"68",0.00477451974740133,Inf,1,0.885,1,"2","ENSMUSG00000085279"
"69",0.0064139026663216,Inf,0.697,0.478,1,"2","ENSMUSG00000094856"
"70",5.67957516276858e-19,Inf,0.968,0.377,1.13591503255372e-15,"3","ENSMUSG00000026921"
"71",1.0786644461408e-15,Inf,0.968,0.434,2.15732889228161e-12,"3","ENSMUSG00000027435"
"72",3.36960461022123e-15,Inf,0.871,0.195,6.73920922044246e-12,"3","ENSMUSG00000029802"
"73",6.19735694154837e-15,Inf,0.871,0.327,1.23947138830967e-11,"3","ENSMUSG00000031170"
"74",2.81115066000927e-14,Inf,0.935,0.478,5.62230132001854e-11,"3","ENSMUSG00000044258"
"75",3.58756356438309e-14,Inf,0.839,0.283,7.17512712876617e-11,"3","ENSMUSG00000062960"
"76",2.90130356338398e-13,Inf,0.839,0.365,5.80260712676796e-10,"3","ENSMUSG00000016494"
"77",3.30087460613488e-13,Inf,0.871,0.396,6.60174921226977e-10,"3","ENSMUSG00000028645"
"78",1.47958331587173e-12,Inf,0.968,0.478,2.95916663174347e-09,"3","ENSMUSG00000025986"
"79",3.44081798172477e-12,Inf,0.742,0.214,6.88163596344954e-09,"3","ENSMUSG00000079018"
"80",6.24175103770034e-12,Inf,0.839,0.346,1.24835020754007e-08,"3","ENSMUSG00000001946"
"81",2.04369519291988e-11,Inf,0.871,0.478,4.08739038583977e-08,"3","ENSMUSG00000022797"
"82",2.98638603855147e-11,Inf,0.871,0.434,5.97277207710294e-08,"3","ENSMUSG00000042116"
"83",7.02931308853459e-11,Inf,0.839,0.447,1.40586261770692e-07,"3","ENSMUSG00000032902"
"84",9.3742657039534e-11,Inf,0.935,0.899,1.87485314079068e-07,"3","ENSMUSG00000039356"
"85",1.6797314651361e-08,Inf,0.806,0.447,3.35946293027221e-05,"3","ENSMUSG00000041313"
"86",1.72218746478735e-08,Inf,0.71,0.264,3.4443749295747e-05,"3","ENSMUSG00000061665"
"87",5.91044629369431e-08,Inf,0.871,0.56,0.000118208925873886,"3","ENSMUSG00000021025"
"88",1.59884230614559e-07,Inf,0.71,0.327,0.000319768461229118,"3","ENSMUSG00000033032"
"89",3.51881192364835e-07,Inf,0.613,0.245,0.00070376238472967,"3","ENSMUSG00000032232"
"90",4.13404830126744e-07,Inf,0.71,0.352,0.000826809660253489,"3","ENSMUSG00000020077"
"91",1.17816628715461e-06,Inf,0.774,0.333,0.00235633257430923,"3","ENSMUSG00000023067"
"92",1.22437061247811e-06,Inf,0.871,0.472,0.00244874122495622,"3","ENSMUSG00000025810"
"93",2.06912928734871e-06,Inf,0.71,0.409,0.00413825857469742,"3","ENSMUSG00000027875"
"94",4.83507918192904e-06,Inf,0.677,0.352,0.00967015836385809,"3","ENSMUSG00000020846"
"95",5.75701731581475e-06,Inf,0.774,0.421,0.0115140346316295,"3","ENSMUSG00000032359"
"96",1.08567222989575e-05,Inf,0.645,0.333,0.0217134445979151,"3","ENSMUSG00000067860"
"97",0.000101765435065907,Inf,0.581,0.327,0.203530870131814,"3","ENSMUSG00000021998"
"98",0.000278029650729377,Inf,0.645,0.333,0.556059301458753,"3","ENSMUSG00000019820"
"99",0.000829572552811539,Inf,0.581,0.371,1,"3","ENSMUSG00000019966"
"100",0.00114582647855309,Inf,0.258,0.491,1,"3","ENSMUSG00000032827"
"101",0.001959586646881,Inf,0.419,0.258,1,"3","ENSMUSG00000075602"
"102",0.00463641968523088,Inf,0.71,0.509,1,"3","ENSMUSG00000054717"
"103",0.00505446256878576,Inf,0.484,0.333,1,"3","ENSMUSG00000017716"
