"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000070866",5.44747835355958e-13,-2.21582440173418,0,1,1.08949567071192e-09
"ENSMUSG00000058248",5.44747835355958e-13,-2.31006100964589,0,1,1.08949567071192e-09
"ENSMUSG00000057286",5.44747835355958e-13,-2.61668122459474,0,1,1.08949567071192e-09
"ENSMUSG00000075410",5.44747835355958e-13,-2.68565885882753,0,1,1.08949567071192e-09
"ENSMUSG00000022787",5.44747835355958e-13,-4.29123428312721,0,1,1.08949567071192e-09
"ENSMUSG00000071324",5.44747835355958e-13,-4.36732731170485,0,1,1.08949567071192e-09
"ENSMUSG00000053552",5.44747835355958e-13,-5.64196276923371,0,1,1.08949567071192e-09
"ENSMUSG00000062593",5.44747835355958e-13,-7.08911155192222,0,1,1.08949567071192e-09
"ENSMUSG00000034009",5.44747835355958e-13,-12.9958946315525,0,1,1.08949567071192e-09
"ENSMUSG00000034898",5.44747835355958e-13,-14.9262803578622,0,1,1.08949567071192e-09
"ENSMUSG00000003974",5.44747835355958e-13,-17.5463993336362,0,1,1.08949567071192e-09
"ENSMUSG00000038781",5.44747835355958e-13,-19.1755764788888,0,1,1.08949567071192e-09
"ENSMUSG00000069919",5.44747835355958e-13,-23.2101972523996,0,1,1.08949567071192e-09
"ENSMUSG00000071654",5.44747835355958e-13,-37.2808176789484,0,1,1.08949567071192e-09
"ENSMUSG00000017667",5.44747835355958e-13,-75.7688059608193,0,1,1.08949567071192e-09
"ENSMUSG00000020486",3.75706659526883e-12,-11.3697806647564,0.023,1,7.51413319053767e-09
"ENSMUSG00000044067",3.75706659526883e-12,-13.6662835490612,0.023,1,7.51413319053767e-09
"ENSMUSG00000043372",3.75706659526883e-12,-14.7846228357584,0.023,1,7.51413319053767e-09
"ENSMUSG00000070953",3.75706659526883e-12,-17.6062560089034,0.023,1,7.51413319053767e-09
"ENSMUSG00000052920",3.75706659526883e-12,-78.396008733813,0.023,1,7.51413319053767e-09
"ENSMUSG00000103761",4.69893914846152e-12,-7.03372342924973,0.023,1,9.39787829692304e-09
"ENSMUSG00000049097",5.87116071795662e-12,-4.52144883718216,0.023,1,1.17423214359132e-08
"ENSMUSG00000048489",7.3286065152279e-12,-5.07359380816074,0.023,1,1.46572130304558e-08
"ENSMUSG00000045382",9.13886358821316e-12,-4.81602115440743,0.023,1,1.82777271764263e-08
"ENSMUSG00000051219",1.13850884548313e-11,-2.12123225109295,0.023,1,2.27701769096627e-08
"ENSMUSG00000066571",1.24380740561381e-11,-2.86999208904994,0,0.9,2.48761481122763e-08
"ENSMUSG00000068696",1.76175449358969e-11,-4.86399935683381,0.023,1,3.52350898717939e-08
"ENSMUSG00000034518",1.76175449358969e-11,-5.471259102553,0.023,1,3.52350898717939e-08
"ENSMUSG00000027375",1.86114998184834e-11,-8.64860616761751,0.045,1,3.72229996369668e-08
"ENSMUSG00000026399",2.71549436942449e-11,-2.44477727006226,0.023,1,5.43098873884897e-08
"ENSMUSG00000056106",2.71549436942449e-11,-4.17369495020688,0.023,1,5.43098873884897e-08
