"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000049097",1.2183152937176e-07,-0.574406797900594,0,1,0.00024366305874352
"ENSMUSG00000010066",1.2183152937176e-07,-0.625035646813131,0,1,0.00024366305874352
"ENSMUSG00000088078",1.2183152937176e-07,-0.849312635355152,0,1,0.00024366305874352
"ENSMUSG00000060600",1.2183152937176e-07,-0.886881514979196,0,1,0.00024366305874352
"ENSMUSG00000032579",1.2183152937176e-07,-0.917562686560467,0,1,0.00024366305874352
"ENSMUSG00000027004",1.2183152937176e-07,-0.952666324240601,0,1,0.00024366305874352
"ENSMUSG00000017664",1.2183152937176e-07,-0.998053484703195,0,1,0.00024366305874352
"ENSMUSG00000045337",1.2183152937176e-07,-1.26072215554521,0,1,0.00024366305874352
"ENSMUSG00000048747",1.2183152937176e-07,-1.3349554062509,0,1,0.00024366305874352
"ENSMUSG00000075410",1.2183152937176e-07,-1.4580679681679,0,1,0.00024366305874352
"ENSMUSG00000046613",1.2183152937176e-07,-1.50216719189544,0,1,0.00024366305874352
"ENSMUSG00000034209",1.2183152937176e-07,-1.53415127181977,0,1,0.00024366305874352
"ENSMUSG00000053552",1.2183152937176e-07,-1.56394928637513,0,1,0.00024366305874352
"ENSMUSG00000070866",1.2183152937176e-07,-1.60844896586648,0,1,0.00024366305874352
"ENSMUSG00000042129",1.2183152937176e-07,-1.67344001023906,0,1,0.00024366305874352
"ENSMUSG00000006398",1.2183152937176e-07,-1.74795185962874,0,1,0.00024366305874352
"ENSMUSG00000048280",1.2183152937176e-07,-1.9064842712034,0,1,0.00024366305874352
"ENSMUSG00000078451",1.2183152937176e-07,-2.20110854081505,0,1,0.00024366305874352
"ENSMUSG00000039512",1.2183152937176e-07,-2.44509554803343,0,1,0.00024366305874352
"ENSMUSG00000024511",1.2183152937176e-07,-2.48078827808158,0,1,0.00024366305874352
"ENSMUSG00000079179",1.2183152937176e-07,-2.61982889751216,0,1,0.00024366305874352
